Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households,County-equivalent_link
1,New York County,New York,"$62,498","$69,659","$84,627","1,605,272","736,192",https://en.wikipedia.org/wiki/Manhattan
2,Arlington,Virginia,"$62,018","$103,208","$139,244","214,861","94,454","https://en.wikipedia.org/wiki/Arlington_County,_Virginia"
3,Falls Church City,Virginia,"$59,088","$120,000","$152,857","12,731","5,020","https://en.wikipedia.org/wiki/Falls_Church,_Virginia"
4,Marin,California,"$56,791","$90,839","$117,357","254,643","102,912","https://en.wikipedia.org/wiki/Marin_County,_California"
5,Alexandria City,Virginia,"$54,608","$85,706","$107,511","143,684","65,369","https://en.wikipedia.org/wiki/Alexandria,_Virginia"
6,Pitkin,Colorado,"$51,814","$72,745","$93,981","17,173","7,507","https://en.wikipedia.org/wiki/Pitkin_County,_Colorado"
7,Los Alamos,New Mexico,"$51,044","$106,686","$124,979","17,979","7,590","https://en.wikipedia.org/wiki/Los_Alamos_County,_New_Mexico"
8,Fairfax County,Virginia,"$50,532","$110,292","$128,596","1,101,071","389,908","https://en.wikipedia.org/wiki/Fairfax_County,_Virginia"
9,Hunterdon,New Jersey,"$50,349","$106,143","$125,828","127,047","46,816","https://en.wikipedia.org/wiki/Hunterdon_County,_New_Jersey"
10,Borden,Texas,"$50,042","$71,607","$76,250",649,225,"https://en.wikipedia.org/wiki/Borden_County,_Texas"
11,Montgomery,Maryland,"$49,038","$98,221","$117,408","989,474","360,563","https://en.wikipedia.org/wiki/Montgomery_County,_Maryland"
12,Morris,New Jersey,"$48,814","$98,633","$117,683","495,261","179,665","https://en.wikipedia.org/wiki/Morris_County,_New_Jersey"
13,Fairfield,Connecticut,"$48,721","$82,283","$104,250","926,233","332,655","https://en.wikipedia.org/wiki/Fairfield_County,_Connecticut"
14,San Francisco,California,"$48,486","$75,604","$90,116","817,501","345,344",https://en.wikipedia.org/wiki/San_Francisco
15,Howard,Maryland,"$48,172","$109,865","$128,657","293,821","106,142","https://en.wikipedia.org/wiki/Howard_County,_Maryland"
16,Westchester,New York,"$47,984","$81,946","$105,341","956,283","343,561","https://en.wikipedia.org/wiki/Westchester_County,_New_York"
17,Somerset,New Jersey,"$47,803","$99,020","$117,393","326,207","115,531","https://en.wikipedia.org/wiki/Somerset_County,_New_Jersey"
18,Nantucket,Massachusetts,"$47,331","$85,478","$92,500","10,224","4,069",https://en.wikipedia.org/wiki/Nantucket
19,Loudoun,Virginia,"$46,565","$122,238","$133,550","326,477","106,997","https://en.wikipedia.org/wiki/Loudoun_County,_Virginia"
20,North Slope,Alaska,"$46,457","$80,761","$82,500","9,484","1,990","https://en.wikipedia.org/wiki/North_Slope_Borough,_Alaska"
21,San Mateo,California,"$45,732","$88,202","$105,844","729,543","257,941","https://en.wikipedia.org/wiki/San_Mateo_County,_California"
22,Kalawao,Hawaii,"$45,515","$59,375","$88,750",71,46,"https://en.wikipedia.org/wiki/Kalawao_County,_Hawaii"
23,Washington City,District of Columbia,"$45,290","$65,830","$79,665","619,371","263,649","https://en.wikipedia.org/wiki/Washington,_D.C."
24,Goochland,Virginia,"$45,039","$80,976","$92,042","21,565","8,058","https://en.wikipedia.org/wiki/Goochland_County,_Virginia"
25,Norfolk,Massachusetts,"$44,692","$84,916","$108,943","677,296","257,451","https://en.wikipedia.org/wiki/Norfolk_County,_Massachusetts"
26,Fairfax City,Virginia,"$44,345","$97,242","$113,538","23,027","8,492","https://en.wikipedia.org/wiki/Fairfax,_Virginia"
27,Douglas,Colorado,"$43,634","$101,591","$112,930","293,014","103,780","https://en.wikipedia.org/wiki/Douglas_County,_Colorado"
28,Teton,Wyoming,"$43,444","$68,078","$83,558","21,575","7,583","https://en.wikipedia.org/wiki/Teton_County,_Wyoming"
29,Bergen,New Jersey,"$43,347","$83,794","$102,222","912,795","335,422","https://en.wikipedia.org/wiki/Bergen_County,_New_Jersey"
30,Middlesex,Massachusetts,"$42,861","$82,090","$104,032","1,522,533","581,120","https://en.wikipedia.org/wiki/Middlesex_County,_Massachusetts"
31,Monmouth,New Jersey,"$42,749","$84,526","$105,971","629,735","233,909","https://en.wikipedia.org/wiki/Monmouth_County,_New_Jersey"
32,Summit,Utah,"$42,462","$83,336","$95,879","37,232","13,627","https://en.wikipedia.org/wiki/Summit_County,_Utah"
33,Nassau,New York,"$42,400","$97,690","$112,874","1,343,765","441,955","https://en.wikipedia.org/wiki/Nassau_County,_New_York"
34,Mineral,Colorado,"$42,255","$47,083","$68,438",761,393,"https://en.wikipedia.org/wiki/Mineral_County,_Colorado"
35,Chester,Pennsylvania,"$42,210","$86,050","$105,278","503,075","184,788","https://en.wikipedia.org/wiki/Chester_County,_Pennsylvania"
36,Ozaukee,Wisconsin,"$42,041","$75,457","$92,262","86,708","34,108","https://en.wikipedia.org/wiki/Ozaukee_County,_Wisconsin"
37,Clear Creek,Colorado,"$41,716","$67,259","$89,583","9,048","4,024","https://en.wikipedia.org/wiki/Clear_Creek_County,_Colorado"
38,Santa Clara,California,"$41,513","$91,702","$103,983","1,812,208","609,377","https://en.wikipedia.org/wiki/Santa_Clara_County,_California"
39,Montgomery,Pennsylvania,"$41,472","$79,183","$99,587","804,621","307,488","https://en.wikipedia.org/wiki/Montgomery_County,_Pennsylvania"
40,Williamson,Tennessee,"$41,292","$89,779","$104,796","188,935","66,364","https://en.wikipedia.org/wiki/Williamson_County,_Tennessee"
41,San Miguel,Colorado,"$40,827","$63,594","$77,708","7,496","3,234","https://en.wikipedia.org/wiki/San_Miguel_County,_Colorado"
