Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households,County-equivalent_link
42,Anne Arundel,Maryland,"$40,415","$87,430","$101,268","544,426","199,904","https://en.wikipedia.org/wiki/Anne_Arundel_County,_Maryland"
43,Putnam,New York,"$40,309","$95,117","$109,188","99,718","34,496","https://en.wikipedia.org/wiki/Putnam_County,_New_York"
44,Newport,Rhode Island,"$40,293","$71,713","$88,962","82,545","34,774","https://en.wikipedia.org/wiki/Newport_County,_Rhode_Island"
45,Delaware County,Ohio,"$40,189","$89,757","$103,564","178,139","64,208","https://en.wikipedia.org/wiki/Delaware_County,_Ohio"
46,Middlesex,Connecticut,"$39,992","$76,994","$98,501","165,690","66,141","https://en.wikipedia.org/wiki/Middlesex_County,_Connecticut"
47,King,Washington,"$39,911","$71,811","$92,510","1,974,567","802,606","https://en.wikipedia.org/wiki/King_County,_Washington"
48,Fauquier,Virginia,"$39,600","$88,409","$103,556","66,015","23,130","https://en.wikipedia.org/wiki/Fauquier_County,_Virginia"
49,Hamilton,Indiana,"$39,521","$82,468","$99,768","282,977","103,234","https://en.wikipedia.org/wiki/Hamilton_County,_Indiana"
50,Eagle,Colorado,"$39,497","$74,456","$86,167","52,151","17,966","https://en.wikipedia.org/wiki/Eagle_County,_Colorado"
51,James City County,Virginia,"$39,133","$76,960","$90,406","68,171","26,883","https://en.wikipedia.org/wiki/James_City_County,_Virginia"
52,Bristol,Rhode Island,"$38,893","$71,238","$93,131","49,426","19,174","https://en.wikipedia.org/wiki/Bristol_County,_Rhode_Island"
53,Johnson,Kansas,"$38,827","$74,717","$92,512","552,947","216,304","https://en.wikipedia.org/wiki/Johnson_County,_Kansas"
54,Clarke,Virginia,"$38,748","$77,597","$95,654","14,191","5,580","https://en.wikipedia.org/wiki/Clarke_County,_Virginia"
55,Williams,North Dakota,"$38,738","$76,210","$86,285","25,024","10,411","https://en.wikipedia.org/wiki/Williams_County,_North_Dakota"
56,DuPage,Illinois,"$38,570","$78,487","$95,208","922,803","336,028","https://en.wikipedia.org/wiki/DuPage_County,_Illinois"
57,Poquoson City,Virginia,"$38,444","$81,892","$98,848","12,117","4,591","https://en.wikipedia.org/wiki/Poquoson,_Virginia"
58,Rockingham,New Hampshire,"$38,399","$77,348","$93,420","296,718","116,262","https://en.wikipedia.org/wiki/Rockingham_County,_New_Hampshire"
59,Calvert,Maryland,"$38,260","$95,477","$107,684","89,332","30,923","https://en.wikipedia.org/wiki/Calvert_County,_Maryland"
60,Contra Costa,California,"$38,219","$78,756","$94,208","1,065,794","375,855","https://en.wikipedia.org/wiki/Contra_Costa_County,_California"
61,Queen Anne's,Maryland,"$38,108","$87,256","$97,909","48,166","17,292","https://en.wikipedia.org/wiki/Queen_Anne%27s_County,_Maryland"
62,Gilpin,Colorado,"$38,022","$63,885","$87,639","5,477","2,504","https://en.wikipedia.org/wiki/Gilpin_County,_Colorado"
63,Talbot,Maryland,"$38,022","$61,597","$74,811","37,859","16,013","https://en.wikipedia.org/wiki/Talbot_County,_Maryland"
64,Lake,Illinois,"$38,018","$77,469","$92,116","702,099","241,072","https://en.wikipedia.org/wiki/Lake_County,_Illinois"
65,Boulder,Colorado,"$38,011","$67,956","$92,667","301,072","120,521","https://en.wikipedia.org/wiki/Boulder_County,_Colorado"
66,Billings,North Dakota,"$37,972","$57,083","$69,167",876,350,"https://en.wikipedia.org/wiki/Billings_County,_North_Dakota"
67,Sussex,New Jersey,"$37,949","$87,335","$100,066","147,924","54,746","https://en.wikipedia.org/wiki/Sussex_County,_New_Jersey"
68,Collin,Texas,"$37,839","$82,762","$97,421","811,308","289,752","https://en.wikipedia.org/wiki/Collin_County,_Texas"
69,San Juan,Washington,"$37,719","$53,376","$65,067","15,786","7,753","https://en.wikipedia.org/wiki/San_Juan_County,_Washington"
70,Litchfield,Connecticut,"$37,667","$71,338","$87,945","188,629","75,755","https://en.wikipedia.org/wiki/Litchfield_County,_Connecticut"
71,Waukesha,Wisconsin,"$37,577","$75,850","$92,974","391,200","153,422","https://en.wikipedia.org/wiki/Waukesha_County,_Wisconsin"
72,Juneau,Alaska,"$37,558","$81,490","$95,112","31,897","12,099","https://en.wikipedia.org/wiki/Juneau,_Alaska"
73,Hennepin,Minnesota,"$37,485","$64,403","$84,559","1,170,623","481,263","https://en.wikipedia.org/wiki/Hennepin_County,_Minnesota"
74,Boone,Indiana,"$37,482","$67,255","$80,907","58,009","21,908","https://en.wikipedia.org/wiki/Boone_County,_Indiana"
75,Bucks,Pennsylvania,"$37,466","$76,555","$92,907","625,977","230,366","https://en.wikipedia.org/wiki/Bucks_County,_Pennsylvania"
76,Mercer,New Jersey,"$37,465","$73,480","$94,267","368,094","130,754","https://en.wikipedia.org/wiki/Mercer_County,_New_Jersey"
77,Carver,Minnesota,"$37,457","$83,773","$96,913","92,770","33,486","https://en.wikipedia.org/wiki/Carver_County,_Minnesota"
78,Broomfield,Colorado,"$37,442","$77,998","$96,787","57,171","22,016","https://en.wikipedia.org/wiki/Broomfield_County,_Colorado"
79,Prince William,Virginia,"$37,401","$98,071","$106,544","416,668","132,442","https://en.wikipedia.org/wiki/Prince_William_County,_Virginia"
80,Charles,Maryland,"$37,277","$93,160","$104,078","148,957","51,247","https://en.wikipedia.org/wiki/Charles_County,_Maryland"
81,Albemarle,Virginia,"$37,239","$67,725","$89,889","100,636","37,964","https://en.wikipedia.org/wiki/Albemarle_County,_Virginia"
82,Skagway,Alaska,"$37,139","$71,667","$77,500","1,080",412,"https://en.wikipedia.org/wiki/Skagway,_Alaska"
83,Bristol Bay,Alaska,"$37,024","$79,531","$96,458",933,384,"https://en.wikipedia.org/wiki/Bristol_Bay_Borough,_Alaska"
84,Washington County,Rhode Island,"$37,023","$72,138","$91,532","126,627","49,430","https://en.wikipedia.org/wiki/Washington_County,_Rhode_Island"
85,Suffolk,New York,"$36,945","$87,763","$100,652","1,495,803","497,347","https://en.wikipedia.org/wiki/Suffolk_County,_New_York"
86,Frederick,Maryland,"$36,917","$84,570","$98,259","236,668","86,337","https://en.wikipedia.org/wiki/Frederick_County,_Maryland"
87,St. Johns,Florida,"$36,836","$64,876","$80,707","197,115","75,558","https://en.wikipedia.org/wiki/St._Johns_County,_Florida"
88,Burlington,New Jersey,"$36,835","$78,446","$94,324","449,964","164,979","https://en.wikipedia.org/wiki/Burlington_County,_New_Jersey"
89,Fulton,Georgia,"$36,757","$56,857","$75,658","948,554","368,184","https://en.wikipedia.org/wiki/Fulton_County,_Georgia"
90,Washington County,Minnesota,"$36,706","$81,540","$94,263","241,315","88,947","https://en.wikipedia.org/wiki/Washington_County,_Minnesota"
91,Stafford,Virginia,"$36,574","$97,110","$106,322","131,885","42,178","https://en.wikipedia.org/wiki/Stafford_County,_Virginia"
92,Rappahannock,Virginia,"$36,505","$56,438","$66,773","7,448","3,261","https://en.wikipedia.org/wiki/Rappahannock_County,_Virginia"
93,Oakland,Michigan,"$36,458","$65,594","$84,182","1,213,406","486,332","https://en.wikipedia.org/wiki/Oakland_County,_Michigan"
94,Collier,Florida,"$36,439","$55,843","$65,980","328,209","122,972","https://en.wikipedia.org/wiki/Collier_County,_Florida"
95,York,Virginia,"$36,373","$82,073","$95,392","65,762","24,071","https://en.wikipedia.org/wiki/York_County,_Virginia"
96,Hinsdale,Colorado,"$36,365","$56,667","$76,000",809,388,"https://en.wikipedia.org/wiki/Hinsdale_County,_Colorado"
97,Divide,North Dakota,"$36,303","$55,057","$69,632","2,155","1,035","https://en.wikipedia.org/wiki/Divide_County,_North_Dakota"
98,Anchorage,Alaska,"$36,214","$77,454","$90,466","295,237","105,208","https://en.wikipedia.org/wiki/Anchorage,_Alaska"
99,Roberts,Texas,"$36,172","$67,321","$83,333","1,030",374,"https://en.wikipedia.org/wiki/Roberts_County,_Texas"
100,Union,South Dakota,"$36,167","$63,468","$74,758","14,575","5,758","https://en.wikipedia.org/wiki/Union_County,_South_Dakota"
101,Carroll,Maryland,"$36,153","$84,790","$100,643","167,261","59,909","https://en.wikipedia.org/wiki/Carroll_County,_Maryland"
102,Barnstable,Massachusetts,"$36,142","$60,526","$76,311","215,449","95,398","https://en.wikipedia.org/wiki/Barnstable_County,_Massachusetts"
103,Jefferson,Colorado,"$36,087","$68,984","$84,957","540,669","219,562","https://en.wikipedia.org/wiki/Jefferson_County,_Colorado"
104,Elbert,Colorado,"$36,077","$82,118","$89,653","23,295","8,240","https://en.wikipedia.org/wiki/Elbert_County,_Colorado"
105,St. Mary's,Maryland,"$36,017","$85,672","$95,186","107,079","37,589","https://en.wikipedia.org/wiki/St._Mary%27s_County,_Maryland"
106,Sublette,Wyoming,"$35,944","$77,900","$85,885","10,178","3,502","https://en.wikipedia.org/wiki/Sublette_County,_Wyoming"
107,Dallas,Iowa,"$35,844","$73,847","$90,092","69,526","26,262","https://en.wikipedia.org/wiki/Dallas_County,_Iowa"
108,Kendall,Texas,"$35,827","$73,410","$86,750","34,951","12,760","https://en.wikipedia.org/wiki/Kendall_County,_Texas"
109,Alameda,California,"$35,763","$72,112","$88,618","1,535,248","545,071","https://en.wikipedia.org/wiki/Alameda_County,_California"
110,Blaine,Idaho,"$35,524","$64,042","$76,575","21,294","9,207","https://en.wikipedia.org/wiki/Blaine_County,_Idaho"
111,Scott,Minnesota,"$35,467","$86,112","$97,693","132,774","45,630","https://en.wikipedia.org/wiki/Scott_County,_Minnesota"
112,Harford,Maryland,"$35,425","$80,622","$92,642","246,664","90,708","https://en.wikipedia.org/wiki/Harford_County,_Maryland"
113,Fayette,Georgia,"$35,344","$79,977","$91,574","107,105","37,930","https://en.wikipedia.org/wiki/Fayette_County,_Georgia"
114,Denali,Alaska,"$35,295","$72,500","$99,091","2,020",716,"https://en.wikipedia.org/wiki/Denali_Borough,_Alaska"
115,Plymouth,Massachusetts,"$35,220","$75,092","$90,431","497,386","179,617","https://en.wikipedia.org/wiki/Plymouth_County,_Massachusetts"
116,Saratoga,New York,"$35,176","$69,826","$87,058","221,169","88,460","https://en.wikipedia.org/wiki/Saratoga_County,_New_York"
117,Essex,Massachusetts,"$35,167","$67,311","$84,185","750,808","286,008","https://en.wikipedia.org/wiki/Essex_County,_Massachusetts"
118,Platte,Missouri,"$35,143","$67,721","$83,110","90,842","36,781","https://en.wikipedia.org/wiki/Platte_County,_Missouri"
119,Union,New Jersey,"$35,089","$68,507","$83,164","540,568","185,483","https://en.wikipedia.org/wiki/Union_County,_New_Jersey"
120,Placer,California,"$34,886","$72,725","$87,352","355,924","132,709","https://en.wikipedia.org/wiki/Placer_County,_California"
121,El Dorado,California,"$34,884","$69,297","$85,253","180,982","67,885","https://en.wikipedia.org/wiki/El_Dorado_County,_California"
122,Routt,Colorado,"$34,873","$62,002","$74,559","23,409","9,647","https://en.wikipedia.org/wiki/Routt_County,_Colorado"
123,Lincoln,South Dakota,"$34,839","$74,751","$85,666","46,693","17,250","https://en.wikipedia.org/wiki/Lincoln_County,_South_Dakota"
124,Dakota,Minnesota,"$34,828","$73,732","$88,889","402,306","154,275","https://en.wikipedia.org/wiki/Dakota_County,_Minnesota"
125,Napa,California,"$34,795","$70,443","$79,700","137,837","49,431","https://en.wikipedia.org/wiki/Napa_County,_California"
126,St. Louis County,Missouri,"$34,795","$58,910","$75,532","999,725","403,293","https://en.wikipedia.org/wiki/St._Louis_County,_Missouri"
127,Hartford,Connecticut,"$34,698","$64,967","$81,805","895,827","347,874","https://en.wikipedia.org/wiki/Hartford_County,_Connecticut"
128,Rockwall,Texas,"$34,617","$86,119","$92,837","81,020","26,820","https://en.wikipedia.org/wiki/Rockwall_County,_Texas"
129,Rockland,New York,"$34,591","$84,951","$99,649","315,069","98,326","https://en.wikipedia.org/wiki/Rockland_County,_New_York"
130,Forsyth,Georgia,"$34,582","$86,569","$99,573","182,916","58,080","https://en.wikipedia.org/wiki/Forsyth_County,_Georgia"
131,Orange,North Carolina,"$34,465","$55,569","$84,770","136,057","51,403","https://en.wikipedia.org/wiki/Orange_County,_North_Carolina"
132,Geauga,Ohio,"$34,455","$67,663","$81,952","93,610","34,621","https://en.wikipedia.org/wiki/Geauga_County,_Ohio"
133,Tolland,Connecticut,"$34,392","$80,529","$95,996","152,366","54,327","https://en.wikipedia.org/wiki/Tolland_County,_Connecticut"
134,Hillsborough,New Hampshire,"$34,390","$69,829","$84,430","402,017","154,324","https://en.wikipedia.org/wiki/Hillsborough_County,_New_Hampshire"
135,Baltimore County,Maryland,"$34,374","$66,486","$81,116","812,261","313,912","https://en.wikipedia.org/wiki/Baltimore_County,_Maryland"
136,Middlesex,New Jersey,"$34,345","$79,596","$93,519","817,026","280,988","https://en.wikipedia.org/wiki/Middlesex_County,_New_Jersey"
137,Yakutat,Alaska,"$34,317","$72,500","$80,875",607,254,"https://en.wikipedia.org/wiki/Yakutat,_Alaska"
138,King George,Virginia,"$34,234","$81,753","$90,752","24,151","8,314","https://en.wikipedia.org/wiki/King_George_County,_Virginia"
139,Petersburg Census Area,Alaska,"$34,183","$63,934","$84,861","3,806","1,643","https://en.wikipedia.org/wiki/Petersburg_Census_Area,_Alaska"
140,Douglas,Nevada,"$34,123","$60,100","$67,597","47,035","19,455","https://en.wikipedia.org/wiki/Douglas_County,_Nevada"
141,Fort Bend,Texas,"$34,084","$85,297","$94,931","608,939","191,406","https://en.wikipedia.org/wiki/Fort_Bend_County,_Texas"
142,Olmsted,Minnesota,"$34,073","$66,252","$83,250","146,063","57,262","https://en.wikipedia.org/wiki/Olmsted_County,_Minnesota"
143,Loving,Texas,"$34,068","$68,750","$88,438",87,33,"https://en.wikipedia.org/wiki/Loving_County,_Texas"
144,Orange,California,"$34,057","$75,422","$84,765","3,051,771","995,512","https://en.wikipedia.org/wiki/Orange_County,_California"
145,Martin,Florida,"$34,057","$49,846","$68,003","147,786","59,891","https://en.wikipedia.org/wiki/Martin_County,_Florida"
146,Summit,Colorado,"$34,025","$63,697","$79,420","28,091","11,138","https://en.wikipedia.org/wiki/Summit_County,_Colorado"
147,Monroe,Florida,"$33,974","$53,607","$63,550","74,213","28,503","https://en.wikipedia.org/wiki/Monroe_County,_Florida"
148,Denton,Texas,"$33,855","$74,155","$90,086","687,857","243,394","https://en.wikipedia.org/wiki/Denton_County,_Texas"
149,Campbell,Wyoming,"$33,850","$79,488","$84,746","46,901","17,108","https://en.wikipedia.org/wiki/Campbell_County,_Wyoming"
150,Kent,Rhode Island,"$33,814","$62,279","$80,038","165,628","68,880","https://en.wikipedia.org/wiki/Kent_County,_Rhode_Island"
151,Mountrail,North Dakota,"$33,803","$68,722","$76,282","8,280","3,069","https://en.wikipedia.org/wiki/Mountrail_County,_North_Dakota"
152,Oconee,Georgia,"$33,801","$75,004","$82,625","33,240","11,485","https://en.wikipedia.org/wiki/Oconee_County,_Georgia"
153,Dunn,North Dakota,"$33,788","$60,500","$76,346","3,786","1,438","https://en.wikipedia.org/wiki/Dunn_County,_North_Dakota"
154,New London,Connecticut,"$33,782","$66,583","$82,076","274,090","107,066","https://en.wikipedia.org/wiki/New_London_County,_Connecticut"
155,Dane,Wisconsin,"$33,712","$61,721","$83,509","496,762","206,982","https://en.wikipedia.org/wiki/Dane_County,_Wisconsin"
156,Midland,Texas,"$33,672","$62,993","$72,635","142,289","50,644","https://en.wikipedia.org/wiki/Midland_County,_Texas"
157,Llano,Texas,"$33,634","$44,094","$60,285","19,223","8,519","https://en.wikipedia.org/wiki/Llano_County,_Texas"
158,Columbia,New York,"$33,613","$57,336","$72,649","62,674","25,280","https://en.wikipedia.org/wiki/Columbia_County,_New_York"
159,Dutchess,New York,"$33,594","$72,525","$88,777","297,385","107,830","https://en.wikipedia.org/wiki/Dutchess_County,_New_York"
160,Oldham,Kentucky,"$33,591","$83,391","$91,587","60,940","19,532","https://en.wikipedia.org/wiki/Oldham_County,_Kentucky"
161,Warren,New Jersey,"$33,555","$70,912","$85,091","108,150","41,463","https://en.wikipedia.org/wiki/Warren_County,_New_Jersey"
162,Hanover,Virginia,"$33,540","$75,070","$88,604","100,328","36,927","https://en.wikipedia.org/wiki/Hanover_County,_Virginia"
163,Storey,Nevada,"$33,472","$61,573","$64,173","3,981","1,843","https://en.wikipedia.org/wiki/Storey_County,_Nevada"
164,Dukes,Massachusetts,"$33,363","$66,288","$82,452","16,739","5,891","https://en.wikipedia.org/wiki/Dukes_County,_Massachusetts"
165,Towner,North Dakota,"$33,357","$55,521","$67,969","2,285","1,034","https://en.wikipedia.org/wiki/Towner_County,_North_Dakota"
166,Shelby,Alabama,"$33,313","$68,770","$82,558","198,366","74,144","https://en.wikipedia.org/wiki/Shelby_County,_Alabama"
167,Chittenden,Vermont,"$33,281","$63,989","$83,887","157,637","62,587","https://en.wikipedia.org/wiki/Chittenden_County,_Vermont"
168,Denver,Colorado,"$33,251","$50,313","$63,705","619,297","266,069",https://en.wikipedia.org/wiki/Denver
169,Washtenaw,Michigan,"$33,231","$59,055","$85,115","348,560","135,800","https://en.wikipedia.org/wiki/Washtenaw_County,_Michigan"
170,Travis,Texas,"$33,206","$58,025","$73,951","1,063,248","411,876","https://en.wikipedia.org/wiki/Travis_County,_Texas"
171,Delaware County,Pennsylvania,"$33,179","$64,041","$81,523","559,771","204,771","https://en.wikipedia.org/wiki/Delaware_County,_Pennsylvania"
172,Warren,Ohio,"$33,172","$72,487","$85,636","215,274","76,546","https://en.wikipedia.org/wiki/Warren_County,_Ohio"
173,Madison,Mississippi,"$33,170","$59,904","$73,775","97,151","36,342","https://en.wikipedia.org/wiki/Madison_County,_Mississippi"
174,Wake,North Carolina,"$33,166","$66,006","$83,568","929,214","348,627","https://en.wikipedia.org/wiki/Wake_County,_North_Carolina"
175,Grand Isle,Vermont,"$33,159","$59,509","$69,722","6,984","3,023","https://en.wikipedia.org/wiki/Grand_Isle_County,_Vermont"
176,Henrico,Virginia,"$33,115","$61,048","$75,640","311,314","123,683","https://en.wikipedia.org/wiki/Henrico_County,_Virginia"
177,McKenzie,North Dakota,"$33,078","$64,866","$77,366","7,377","2,666","https://en.wikipedia.org/wiki/McKenzie_County,_North_Dakota"
178,Cobb,Georgia,"$33,069","$63,920","$78,058","699,235","261,242","https://en.wikipedia.org/wiki/Cobb_County,_Georgia"
179,Foster,North Dakota,"$33,063","$50,677","$68,547","3,355","1,555","https://en.wikipedia.org/wiki/Foster_County,_North_Dakota"
180,Madison,Montana,"$33,062","$47,762","$61,672","7,702","3,542","https://en.wikipedia.org/wiki/Madison_County,_Montana"
181,Ouray,Colorado,"$33,015","$64,601","$72,229","4,475","1,943","https://en.wikipedia.org/wiki/Ouray_County,_Colorado"
182,Comal,Texas,"$32,980","$65,839","$77,324","112,083","41,954","https://en.wikipedia.org/wiki/Comal_County,_Texas"
183,Cape May,New Jersey,"$32,948","$56,494","$74,112","96,684","42,312","https://en.wikipedia.org/wiki/Cape_May_County,_New_Jersey"
184,Ventura,California,"$32,930","$76,544","$86,301","829,017","267,076","https://en.wikipedia.org/wiki/Ventura_County,_California"
185,Montgomery,Texas,"$32,911","$67,766","$79,541","472,162","163,462","https://en.wikipedia.org/wiki/Montgomery_County,_Texas"
186,Burke,North Dakota,"$32,908","$53,693","$70,096","2,094","1,007","https://en.wikipedia.org/wiki/Burke_County,_North_Dakota"
187,Worcester,Maryland,"$32,887","$57,952","$68,840","51,479","20,530","https://en.wikipedia.org/wiki/Worcester_County,_Maryland"
188,Cumberland,Maine,"$32,880","$57,461","$75,432","283,046","117,359","https://en.wikipedia.org/wiki/Cumberland_County,_Maine"
189,Burleigh,North Dakota,"$32,876","$61,811","$82,235","83,906","34,703","https://en.wikipedia.org/wiki/Burleigh_County,_North_Dakota"
190,Cook,Minnesota,"$32,868","$52,215","$59,643","5,195","2,614","https://en.wikipedia.org/wiki/Cook_County,_Minnesota"
191,Palm Beach,Florida,"$32,858","$52,432","$64,260","1,339,221","526,007","https://en.wikipedia.org/wiki/Palm_Beach_County,_Florida"
192,Sonoma,California,"$32,835","$63,356","$75,896","487,469","185,660","https://en.wikipedia.org/wiki/Sonoma_County,_California"
193,Suffolk,Massachusetts,"$32,835","$53,540","$61,449","735,701","288,240","https://en.wikipedia.org/wiki/Suffolk_County,_Massachusetts"
194,Clackamas,Oregon,"$32,781","$64,352","$76,549","380,532","146,527","https://en.wikipedia.org/wiki/Clackamas_County,_Oregon"
195,Greeley,Kansas,"$32,650","$52,847","$58,875","1,202",493,"https://en.wikipedia.org/wiki/Greeley_County,_Kansas"
196,Hudson,New Jersey,"$32,641","$58,442","$62,168","644,605","243,875","https://en.wikipedia.org/wiki/Hudson_County,_New_Jersey"
197,Gloucester,New Jersey,"$32,600","$74,524","$87,913","289,098","104,145","https://en.wikipedia.org/wiki/Gloucester_County,_New_Jersey"
198,Arapahoe,Colorado,"$32,595","$60,651","$73,649","585,333","225,552","https://en.wikipedia.org/wiki/Arapahoe_County,_Colorado"
199,Valdez-Cordova Census Area,Alaska,"$32,579","$74,878","$88,480","9,682","3,424","https://en.wikipedia.org/wiki/Valdez%E2%80%93Cordova_Census_Area,_Alaska"
200,Chesterfield,Virginia,"$32,572","$72,088","$83,877","320,430","113,637","https://en.wikipedia.org/wiki/Chesterfield_County,_Virginia"
201,New Haven,Connecticut,"$32,523","$61,996","$79,408","862,611","328,013","https://en.wikipedia.org/wiki/New_Haven_County,_Connecticut"
202,Sitka,Alaska,"$32,521","$69,405","$78,000","8,945","3,554","https://en.wikipedia.org/wiki/Sitka,_Alaska"
203,Beaufort,South Carolina,"$32,503","$57,316","$66,878","165,354","64,417","https://en.wikipedia.org/wiki/Beaufort_County,_South_Carolina"
204,Botetourt,Virginia,"$32,490","$65,935","$74,798","33,076","12,825","https://en.wikipedia.org/wiki/Botetourt_County,_Virginia"
205,Mecklenburg,North Carolina,"$32,482","$55,444","$68,083","947,135","366,689","https://en.wikipedia.org/wiki/Mecklenburg_County,_North_Carolina"
206,New Castle,Delaware,"$32,406","$64,537","$79,954","542,784","200,739","https://en.wikipedia.org/wiki/New_Castle_County,_Delaware"
207,Nevada County,California,"$32,346","$57,353","$70,148","98,509","40,991","https://en.wikipedia.org/wiki/Nevada_County,_California"
